,title,deputado_id,year,number,full_ref,vote,sessao_id,date,type
28767,"DVS - PPS - EXP "" OU QUE VIEREM A SER CRIADOS... LEGAIS "" CAPUT ART. 76",530134,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
1785,"DVS - PMDB - EMENDA Nº 164",525539,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
20822,"REQUERIMENTO DE RETIRADA DE PAUTA",534005,2011,61,"PEC  N  61 2011",O,317,2011-11-09,PEC
14250,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",530102,2011,382,"PL   N  382 2011",S,14,2011-02-16,PL
24549,"REQUERIMENTO DE RETIRADA DE PAUTA",528650,2010,502,"MPV  N  502 2010",O,20,2011-02-22,MPV
11446,"DVS - PPS - EXP "" OU QUE VIEREM A SER CRIADOS... LEGAIS "" CAPUT ART. 76",530178,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
26047,"REQUERIMENTO DE RETIRADA DE PAUTA",520741,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
11283,"DVS - DEM - EMENDA Nº 34",528487,2011,528,"MPV  N  528 2011",S,175,2011-07-05,MPV
4521,"SUBSTITUTIVO DA COMISSÃO ESPECIAL",521814,2011,1749,"PL   N  1749 2011",S,252,2011-09-20,PL
20907,"DVS - PSDB -  ART. 5º DO PLV",521038,2010,513,"MPV  N  513 2010",S,84,2011-04-26,MPV
1298,"REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV",530182,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
27944,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",523577,2008,306,"PLP  N  306 2008",S,255,2011-09-21,PLP
4633,"DVS - PSDB - EXPRESSÃO ""CONTRIBUIÇÕES SOCIAIS"" CAPUT ART. 76",524095,2011,61,"PEC  N  61 2011",N,332,2011-11-22,PEC
28344,"DVS - Bloco PvPps - EXPR: ""por meio de decreto"" - ART. 3º DO PL 382/2011 (...)",530022,2011,382,"PL   N  382 2011",S,14,2011-02-16,PL
12578,"DVS - PV-PPS - EMENDA 64",522255,2010,517,"MPV  N  517 2010",S,126,2011-05-25,MPV
1113,"DVS - PPS - EXP "" OU QUE VIEREM A SER CRIADOS... LEGAIS "" CAPUT ART. 76",530020,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
20136,"DVS -PDT-EXP:"" SALVO NA ETAPA DE...LASER"", ART. 150, VI, e / ART.1º SUBST.",522928,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
6590,"REQUERIMENTO DE RETIRADA DE PAUTA",525386,2011,527,"MPV  N  527 2011",N,153,2011-06-15,MPV
6322,"DVS - PMDB - EMENDA Nº 164",530073,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
1640,"REQUERIMENTO DE RETIRADA DE PAUTA",520429,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
29046,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",530095,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
9331,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",524709,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
15745,"DVS - PSDB - ART. 9º DO PLV",530198,2011,527,"MPV  N  527 2011",N,168,2011-06-28,MPV
13006,"DVS - DEM - EXP. ""EM 20% NO ANO DE 2012,15% EM 2013, 10% EM 2014 E 5%  2015.",530145,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
22564,"DVS -PDT-EXP:"" SALVO NA ETAPA DE...LASER"", ART. 150, VI, e / ART.1º SUBST.",528722,2007,98,"PEC  N  98 2007",S,332,2011-11-22,PEC
25507,"PROJETO DE DECRETO LEGISLATIVO",520730,2011,220,"PDC  N  220 2011",A,300,2011-10-27,PDC
46,"DVS - PV-PPS - INC. II DO § 3º DO ART. 1º, CONST. DO ART. 12 DO PLV",522187,2011,532,"MPV  N  532 2011",N,215,2011-08-23,MPV
4432,"DVS - PMDB - EMENDA Nº 164",526056,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
4937,"PROJETO DE DECRETO LEGISLATIVO",528009,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
10062,"PROPOSTA DE EMENDA À CONSTITUIÇÃO",524512,2011,61,"PEC  N  61 2011",S,314,2011-11-08,PEC
8243,"PROJETO DE DECRETO LEGISLATIVO",526158,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
18930,"DVS - PPS - EXP "" OU QUE VIEREM A SER CRIADOS... LEGAIS "" CAPUT ART. 76",530162,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
7204,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 4 SESSÕES",522070,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
27357,"REQUERIMENTO DE RETIRADA DE PAUTA",528107,2011,527,"MPV  N  527 2011",N,153,2011-06-15,MPV
28330,"DVS - PSDB - EMENDA Nº 8",531196,2011,539,"MPV  N  539 2011",N,273,2011-10-05,MPV
12735,"REQUERIMENTO DE RETIRADA DE PAUTA",530146,2007,98,"PEC  N  98 2007",N,332,2011-11-22,PEC
16836,"DVS - PSDB - ART. 12 DO PLV",530170,2011,532,"MPV  N  532 2011",S,209,2011-08-17,MPV
10516,"DVS - DEM - ART. 16 DA SUBEMENDA SUBSTITUTIVA GLOBAL DA CFT",525638,2008,306,"PLP  N  306 2008",N,255,2011-09-21,PLP
3508,"DVS - PMDB - EMENDA Nº 164",530097,1999,1876,"PL   N  1876 1999",S,123,2011-05-24,PL
23210,"DVS - PSDB - EMENDA Nº 1",530217,2011,382,"PL   N  382 2011",S,13,2011-02-16,PL
6928,"DVS - DEM - INC. IV DO ART. 24d DA LEI 10.683/03 (ART. 1º DA MP)",532384,2011,527,"MPV  N  527 2011",S,168,2011-06-28,MPV
12717,"REQUERIMENTO DE RETIRADA DE PAUTA",530146,2011,61,"PEC  N  61 2011",N,314,2011-11-08,PEC
23625,"REQUERIMENTO DE RETIRADA DE PAUTA",521043,2011,532,"MPV  N  532 2011",N,208,2011-08-17,MPV
15199,"DVS - PV/PPS - §  4º DO ART. 76 CONSTANTE DA EMENDA 1",530166,2011,61,"PEC  N  61 2011",N,317,2011-11-09,PEC
2047,"DVS - DEM - ART. 24 DO PLV",524132,2010,517,"MPV  N  517 2010",N,126,2011-05-25,MPV
23277,"PROJETO DE DECRETO LEGISLATIVO",530036,2010,2600,"PDC  N  2600 2010",S,60,2011-04-06,PDC
11202,"DVS -DEM- EXP ""OU QUE VIEREM A SER CRIADOS...DATA""   CAPUT ART. 76",521901,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
7913,"DVS - PSDB - EXPRESSÃO ""JÁ INSTITUIDOS  "" CAPUT  ART. 76",530039,2011,61,"PEC  N  61 2011",S,332,2011-11-22,PEC
9463,"DVS - DEM - ART. 23 DO PLV",530017,2010,511,"MPV  N  511 2010",N,59,2011-04-06,MPV
9935,"CONTRA A DEPUTADA JAQUELINE RORIZ - PMN/DF",527045,2011,1,"REP  N  1 2011",S,225,2011-08-30,REP
26881,"REQ. DE CONCESSÃO DO PRAZO DE 1 SESSÃO P/ VOTAÇÃO DO PLV",530140,2011,530,"MPV  N  530 2011",N,190,2011-08-03,MPV
24027,"REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E ENCAMINHAMENTO",530064,2011,532,"MPV  N  532 2011",S,208,2011-08-17,MPV
2370,"REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 5 SESSÕES",523540,2011,61,"PEC  N  61 2011",N,313,2011-11-08,PEC
